IPs,milliseconds,PUTs,actualIPs,actualPUTs
7,901464,780,7,232
2,42054,106,2,62
10,249188,805,10,358
20,662201,1712,20,165
7,29558,114,6,35
20,584122,1166,20,103
4,78913,131,2,19
8,37040,98,6,21
20,345705,1121,19,156
16,317730,465,15,62
15,366733,314,15,79
16,1004653,298,16,92
1,83,1,1,1
17,747353,557,17,81
15,166673,179,13,40
15,308871,416,14,202
5,23159,44,5,16
12,268036,305,12,48
16,478984,419,16,76
21,447710,684,20,72
13,267737,147,13,33
13,651848,576,13,80
19,568158,840,17,90
15,160294,209,13,47
13,492501,371,13,62
11,392917,273,11,43
12,582891,111,12,58
28,2213437,1212,28,136
19,953837,366,19,85
32,2306117,1066,32,187
9,681632,934,8,64
13,321992,808,12,110
13,1279124,3962,13,539
12,327665,1210,12,71
13,189864,705,13,363
14,1036407,2372,13,111
11,373912,960,10,174
11,746193,1432,11,50
11,2433266,3689,11,83
11,1036163,2160,11,318
5,56600,209,4,65
10,195021,546,10,150
9,60947,157,8,13
12,570236,720,12,66
15,4591417,2568,15,84
9,1172818,719,9,56
1,185,1,0,0
15,3120721,3798,14,104
10,603902,1387,7,378
10,375865,351,9,84
11,312099,746,11,139
7,57180,105,6,18
8,859755,593,8,52
8,159346,300,8,24
6,621582,1160,6,305
