IPs,milliseconds,PUTs
7,275855,489
3,12373,26
1,293,1
8,366668,1024
5,170790,390
6,664706,1037
5,1062795,1933
2,38101,43
2,70076,131
12,745193,1497
6,14949,49
2,1304,3
2,1059,3
2,75574,29
19,2291803,3934
2,8900,16
9,194324,206
5,9462,9
1,2284,2
6,105412,102
6,46041,114
6,46716,75
3,43459,44
5,236051,187
9,95162,149
29,358654,1228
10,37332,126
14,91792,350
9,3819,15
17,168525,438
6,40096,77
11,105195,151
12,76556,139
8,45308,109
9,24480,51
38,734805,1975
8,7828,19
15,59004,133
6,4906,14
18,33007,133
11,13507,42
4,1382,5
13,53367,178
12,11047,34
17,20766,77
18,49388,205
13,17575,61
3,493,3
10,19251,50
8,15849,31
8,30117,25
13,62101,96
36,844485,798
4,19168,11
17,297837,322
14,111943,98
4,16690,12
13,227386,223
2,1629,2
3,3003,5
19,444147,493
15,156707,126
4,8719,7
14,163055,120
8,24671,27
5,16767,12
14,207257,224
12,410495,167
8,181853,88
30,4107682,897
13,3762751,336
7,2702866,125
3,224007,18
6,4525956,246
